,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
0,5715448,0,C
1,5715448,-1,C
2,5715448,-2,C
3,5715448,-3,C
4,5715448,-4,C
5,5715448,-5,C
6,5715448,-6,C
7,5715448,-7,C
8,5715448,-8,C
9,5715448,-9,0
10,5715448,-10,0
11,5715448,-11,X
12,5715448,-12,X
13,5715448,-13,X
14,5715448,-14,0
15,5715448,-15,0
16,5715448,-16,0
17,5715448,-17,0
18,5715448,-18,0
19,5715448,-19,0
20,5715448,-20,X
21,5715448,-21,X
22,5715448,-22,X
23,5715448,-23,X
24,5715448,-24,X
25,5715448,-25,X
26,5715448,-26,X
27,5715449,0,C
28,5715449,-1,C
29,5715449,-2,C
30,5715449,-3,C
31,5715449,-4,C
32,5715449,-5,C
33,5715449,-6,0
34,5715449,-7,0
35,5715449,-8,0
36,5715449,-9,0
37,5715449,-10,0
38,5715449,-11,X
39,5715451,-5,C
40,5715451,-6,C
41,5715451,-7,C
42,5715451,-8,C
43,5715451,-9,C
44,5715451,-10,0
45,5715451,-11,0
46,5715451,-12,0
47,5715451,-13,0
48,5715451,-14,0
49,5715451,-15,0
50,5715451,-16,X
51,5715451,-17,X
52,5715451,-18,X
53,5715451,-19,0
54,5715451,-20,0
55,5715451,-21,0
56,5715451,-22,0
57,5715451,-23,0
58,5715451,-24,0
59,5715451,-25,0
60,5715451,-26,0
61,5715451,-27,0
62,5715451,-28,0
63,5715451,-29,0
64,5715451,-30,X
65,5715452,0,C
66,5715452,-1,C
67,5715452,-2,C
68,5715452,-3,C
69,5715452,-4,C
70,5715452,-5,C
71,5715452,-6,C
72,5715452,-7,C
73,5715452,-8,C
74,5715452,-9,C
75,5715452,-10,C
76,5715452,-11,C
77,5715452,-12,C
78,5715452,-13,C
79,5715452,-14,C
80,5715452,-15,0
81,5715452,-16,0
82,5715452,-17,X
83,5715452,-18,X
84,5715452,-19,X
85,5715452,-20,0
86,5715452,-21,0
87,5715452,-22,0
88,5715452,-23,0
89,5715452,-24,0
90,5715452,-25,0
91,5715452,-26,X
92,5715452,-27,X
93,5715452,-28,X
94,5715452,-29,X
95,5715452,-30,X
96,5715452,-31,X
97,5715452,-32,X
98,5715453,0,C
99,5715453,-1,C
100,5715453,-2,C
101,5715453,-3,C
102,5715453,-4,C
103,5715453,-5,C
104,5715453,-6,C
105,5715453,-7,C
106,5715453,-8,C
107,5715453,-9,C
108,5715453,-10,C
109,5715453,-11,C
110,5715453,-12,C
111,5715453,-13,C
112,5715453,-14,C
113,5715453,-15,C
114,5715453,-16,C
115,5715453,-17,C
116,5715453,-18,C
117,5715453,-19,C
